state,park,recreation_visitors,recreation_visitor_days,non_recreation_visitors,recreation_visitor_hours,non_recreation_visitor_hours,concessioner_lodging_overnights,concessioner_camping_overnights,tent_overnights,recreation_vehicle_overnights,back_country_overnights,non_recreation_overnights,misc_overnights,year
Alabama,Horseshoe Bend NMP,"28,600","8,788",0,"105,461",0,0,0,0,0,0,0,0,2020
Alabama,Little River Canyon NPRES,"802,375","168,827",0,"2,025,934",0,0,0,0,0,0,0,0,2020
Alabama,Natchez Trace PKWY,"428,736","143,413","583,028","1,720,966","583,028",0,0,0,0,0,0,0,2020
Alabama,Russell Cave NM,"8,462","1,074",0,"12,894",0,0,0,0,0,0,0,0,2020
Alabama,Tuskegee Airmen NHS,"6,843",855,0,"10,264",0,0,0,0,0,0,0,0,2020
Alabama,Tuskegee Institute NHS,"4,737",533,0,"6,401",0,0,0,0,0,0,0,0,2020
Alaska,Aniakchak NM & PRES,36,430,0,"5,168",0,0,0,0,0,211,0,0,2020
Alaska,Bering Land Bridge NPRES,"2,642","2,906","1,128","34,878","20,592",0,0,0,0,"1,123",482,0,2020
Alaska,Cape Krusenstern NM,"11,369","12,224","7,035","146,695","171,840",0,0,0,0,"4,703","4,815",0,2020
Alaska,Denali NP & PRES,"54,850","77,921","556,019","935,054","139,003",0,"12,831",0,0,"5,332",0,0,2020
Alaska,Gates of the Arctic NP & PRES,"2,872","2,279",0,"27,355",0,0,0,0,0,"1,086",0,0,2020
Alaska,Glacier Bay NP & PRES,"5,748","19,668",203,"236,016","48,200",0,0,94,0,989,"1,990","8,345",2020
Alaska,Katmai NP & PRES,"51,511","45,291",700,"543,503","13,280",654,0,0,0,"20,298",480,70,2020
Alaska,Kenai Fjords NP,"115,882","28,269",0,"339,234",0,0,0,0,0,122,0,0,2020
Alaska,Klondike Gold Rush NHP Alaska,297,436,0,"5,239",0,0,0,0,0,65,0,0,2020
Alaska,Kobuk Valley NP,"11,185","13,468","7,961","161,626","199,528",0,0,0,0,"4,888","5,660",0,2020
Alaska,Lake Clark NP & PRES,"4,948","6,412",0,"76,952",0,0,0,0,0,"3,048",0,0,2020
Alaska,Noatak NPRES,"12,533","23,675","7,040","284,102","162,640",0,0,0,0,"3,571","4,430",0,2020
Alaska,Sitka NHP,"115,494","7,177",0,"86,135",0,0,0,0,0,0,0,0,2020
Alaska,Wrangell-St. Elias NP & PRES,"16,655","63,842",0,"766,112",0,0,0,0,0,0,0,429,2020
Alaska,Yukon-Charley Rivers NPRES,666,"3,769",65,"45,228","7,800",0,0,0,0,"1,829",325,0,2020
American Samoa,National Park of American Samoa,"4,819",803,0,"9,640",0,0,0,0,0,0,0,0,2020
Arizona,Canyon de Chelly NM,"76,752","44,318","522,089","531,822","1,044,175","4,627","1,125",0,0,190,"1,449",0,2020
Arizona,Casa Grande Ruins NM,"44,269","4,915","1,800","58,986",180,0,0,0,0,0,0,0,2020
Arizona,Chiricahua NM,"44,794","19,570","3,600","234,848","1,200",0,0,"5,162","3,820",0,0,217,2020
Arizona,Coronado NMEM,"156,199","14,164","2,508","169,970","1,248",0,0,0,0,0,0,0,2020
Arizona,Fort Bowie NHS,"6,456","1,076",0,"12,912",0,0,0,0,0,0,0,0,2020
Arizona,Glen Canyon NRA,"357,804","216,564","19,876","2,598,777","238,506","18,820","42,652","1,946","1,554",0,0,"424,926",2020
Arizona,Grand Canyon NP,"2,897,098","3,734,023","14,788","44,808,278","14,788","218,922","31,276","17,331","6,338","177,589",0,497,2020
Arizona,Hubbell Trading Post NHS,"11,407",491,"4,584","5,894","1,056",0,0,0,0,0,0,0,2020
Arizona,Lake Mead NRA,"2,004,127","1,200,523","92,784","14,406,287","556,701","11,578","92,260","1,421","1,809","26,190",0,"5,358",2020
Arizona,Montezuma Castle NM,"242,028","20,169",0,"242,028",0,0,0,0,0,0,0,0,2020
Arizona,Navajo NM,"3,985",863,0,"10,366",0,0,0,129,172,0,0,0,2020
Arizona,Organ Pipe Cactus NM,"191,512","61,622","865,849","739,467","432,925",0,0,"5,040","27,790",145,0,37,2020
