state,park,recreation_visitors,recreation_visitor_days,non_recreation_visitors,recreation_visitor_hours,non_recreation_visitor_hours,concessioner_lodging_overnights,concessioner_camping_overnights,tent_overnights,recreation_vehicle_overnights,back_country_overnights,non_recreation_overnights,misc_overnights,year
Alabama,Horseshoe Bend NMP,"58,285","14,522",0,"174,275",0,0,0,0,0,0,0,0,2021
Alabama,Little River Canyon NPRES,"862,606","184,841",0,"2,218,097",0,0,0,0,0,0,0,0,2021
Alabama,Natchez Trace PKWY,"448,094","150,445","612,525","1,805,344","612,525",0,0,0,0,0,0,0,2021
Alabama,Russell Cave NM,"22,393","1,930",0,"23,170",0,0,0,0,0,0,0,0,2021
Alabama,Tuskegee Airmen NHS,"8,057","1,007",0,"12,084",0,0,0,0,0,0,0,0,2021
Alabama,Tuskegee Institute NHS,"5,629",234,0,"2,814",0,0,0,0,0,0,0,0,2021
Alaska,Alagnak Wild River,262,699,110,"8,394","4,350",0,0,0,0,328,179,0,2021
Alaska,Aniakchak NM & PRES,145,764,82,"9,175","10,094",0,0,0,0,408,476,0,2021
Alaska,Bering Land Bridge NPRES,"2,642","2,906","1,128","34,878","20,592",0,0,0,0,"1,123",482,0,2021
Alaska,Cape Krusenstern NM,"12,162","12,868","6,640","154,422","172,040",0,0,0,0,"4,914","4,955",0,2021
Alaska,Denali NP & PRES,"229,521","283,167","1,118,096","3,398,006","279,524",0,"21,477",0,0,"35,646",0,0,2021
Alaska,Gates of the Arctic NP & PRES,"7,362","3,540",0,"42,489",0,0,0,0,0,"1,632",0,0,2021
Alaska,Glacier Bay NP & PRES,"89,768","133,925",494,"1,607,101","109,050","18,575",0,813,0,"3,445","4,470","8,858",2021
Alaska,Katmai NP & PRES,"24,764","34,100","6,266","409,210","60,664","4,577",0,"2,585",0,"3,491",909,0,2021
Alaska,Kenai Fjords NP,"411,782","119,156",0,"1,429,873",0,0,0,694,0,32,0,632,2021
Alaska,Klondike Gold Rush NHP Alaska,"33,228","15,487",0,"185,848",0,0,0,0,0,481,0,0,2021
Alaska,Kobuk Valley NP,"11,540","14,174","6,530","170,096","192,880",0,0,0,0,"5,164","5,860",0,2021
Alaska,Lake Clark NP & PRES,"18,278","14,400","2,771","172,802","38,190",0,0,0,0,"6,054","1,484",139,2021
Alaska,Noatak NPRES,"12,891","24,850","7,320","298,200","169,200",0,0,0,0,"3,831","4,610",0,2021
Alaska,Sitka NHP,"96,793","5,480",0,"65,763",0,0,0,0,0,0,0,0,2021
Alaska,Wrangell-St. Elias NP & PRES,"50,189","192,390",0,"2,308,685",0,0,0,0,0,580,0,"2,177",2021
Alaska,Yukon-Charley Rivers NPRES,629,"4,780",113,"57,370","13,560",0,0,0,0,"2,338",565,0,2021
American Samoa,National Park of American Samoa,"8,495","1,415",0,"16,990",0,0,0,0,0,0,0,0,2021
Arizona,Canyon de Chelly NM,"184,191","104,347","617,868","1,252,165","1,235,735","7,794","4,458",0,0,0,"2,284",0,2021
Arizona,Casa Grande Ruins NM,"49,261","5,591","2,160","67,100",216,0,0,0,0,0,0,0,2021
Arizona,Chiricahua NM,"53,413","28,490","3,600","341,885","1,200",0,0,"9,531","5,179",0,0,813,2021
Arizona,Coronado NMEM,"129,758","12,866","2,508","154,402","1,248",0,0,0,0,0,0,0,2021
Arizona,Fort Bowie NHS,"9,280","1,546",0,"18,560",0,0,0,0,0,0,0,0,2021
Arizona,Glen Canyon NRA,"749,392","361,714","15,576","4,340,579","186,891","56,164","40,185","34,932","34,977",0,0,"540,636",2021
Arizona,Grand Canyon NP,"4,532,677","5,927,482","18,243","71,129,791","18,243","393,531","38,293","119,531","55,661","332,295",0,"7,991",2021
Arizona,Hubbell Trading Post NHS,"21,256",915,"4,584","10,982","1,056",0,0,0,0,0,0,0,2021
Arizona,Lake Mead NRA,"1,900,868","1,129,406","84,798","13,552,882","508,780","5,867","81,214","1,428","1,812","10,576",0,"6,652",2021
Arizona,Montezuma Castle NM,"418,147","34,845",0,"418,147",0,0,0,0,0,0,0,0,2021
Arizona,Navajo NM,"14,834","3,612","1,147","43,355",287,0,0,766,699,0,0,0,2021
Arizona,Organ Pipe Cactus NM,"190,848","65,873","457,038","790,482","228,520",0,0,"7,868","24,879",189,0,0,2021
Arizona,Petrified Forest NP,"590,334","121,044",120,"1,452,533",120,0,0,0,0,624,0,0,2021
Arizona,Pipe Spring NM,"24,026","3,003",404,"36,037",900,0,0,0,0,0,0,0,2021
Arizona,Saguaro NP,"1,079,786","129,489","2,931,086","1,553,872","732,770",0,0,0,0,"4,015",0,0,2021
Arizona,Sunset Crater Volcano NM,"125,653","15,706","12,000","188,480","3,996",0,0,0,0,0,0,0,2021
Arizona,Tonto NM,"32,334","4,634",0,"55,613",0,0,0,0,0,0,0,0,2021
Arizona,Tumacacori NHP,"33,357","4,186",0,"50,234",0,0,0,0,0,0,0,99,2021
Arizona,Tuzigoot NM,"124,406","10,367",0,"124,406",0,0,0,0,0,0,0,0,2021
Arizona,Walnut Canyon NM,"212,328","23,002",480,"276,028",240,0,0,0,0,0,0,0,2021
Arizona,Wupatki NM,"207,445","36,148","6,531","433,779","3,920",0,0,0,0,0,0,0,2021
