state,park,recreation_visitors,recreation_visitor_days,non_recreation_visitors,recreation_visitor_hours,non_recreation_visitor_hours,concessioner_lodging_overnights,concessioner_camping_overnights,tent_overnights,recreation_vehicle_overnights,back_country_overnights,non_recreation_overnights,misc_overnights,year
Alabama,Horseshoe Bend NMP,"45,372","11,749",0,"140,988",0,0,0,0,0,0,0,0,2019
Alabama,Little River Canyon NPRES,"649,986","132,309",0,"1,587,719",0,0,0,0,0,0,0,0,2019
Alabama,Natchez Trace PKWY,"440,724","147,863","641,224","1,774,356","641,224",0,0,0,0,0,0,0,2019
Alabama,Russell Cave NM,"16,642","2,406",0,"28,875",0,0,0,0,0,0,0,0,2019
Alabama,Tuskegee Airmen NHS,"30,097","3,762",0,"45,145",0,0,0,0,0,0,0,0,2019
Alabama,Tuskegee Institute NHS,"36,395","4,556",0,"54,678",0,0,0,0,0,0,0,0,2019
Alaska,Aniakchak NM & PRES,100,460,0,"5,520",0,0,0,0,0,230,0,0,2019
Alaska,Bering Land Bridge NPRES,"2,642",660,"1,128","7,926","9,024",0,0,0,0,"1,123",482,0,2019
Alaska,Cape Krusenstern NM,"16,226","3,819","7,800","45,828","62,400",0,0,0,0,"6,425","5,925",0,2019
Alaska,Denali NP & PRES,"601,152","552,891","787,826","6,634,699","196,956",0,"26,382",0,0,"26,211",0,0,2019
Alaska,Gates of the Arctic NP & PRES,"10,518","8,530",0,"102,366",0,0,0,0,0,"4,058",0,0,2019
Alaska,Glacier Bay NP & PRES,"672,087","713,718",489,"8,564,620","70,700","14,408",0,744,0,"4,211","2,840","14,938",2019
Alaska,Katmai NP & PRES,"84,167","21,395",0,"256,745",0,"4,268",0,"2,560",0,458,0,0,2019
Alaska,Kenai Fjords NP,"356,601","97,997",0,"1,175,974",0,0,0,"1,076",0,566,0,0,2019
Alaska,Klondike Gold Rush NHP Alaska,"1,116,161","383,145",0,"4,597,749",0,0,0,"1,790",0,"5,821",0,0,2019
Alaska,Kobuk Valley NP,"15,766","4,899","7,750","58,789","62,000",0,0,0,0,"7,050","7,100",0,2019
Alaska,Lake Clark NP & PRES,"17,157","4,117",0,"49,406",0,0,0,0,0,686,0,0,2019
