state,park,recreation_visitors,recreation_visitor_days,non_recreation_visitors,recreation_visitor_hours,non_recreation_visitor_hours,concessioner_lodging_overnights,concessioner_camping_overnights,tent_overnights,recreation_vehicle_overnights,back_country_overnights,non_recreation_overnights,misc_overnights,year
Alabama,Horseshoe Bend NMP,"64,063","15,074",0,"180,897",0,0,0,0,0,0,0,0,2024
Alabama,Little River Canyon NPRES,"763,209","153,069",0,"1,836,829",0,0,0,0,0,0,0,0,2024
Alabama,Natchez Trace PKWY,"515,538","173,325","657,693","2,079,900","657,693",0,0,0,0,0,0,0,2024
Alabama,Russell Cave NM,"9,261",860,0,"10,324",0,0,0,0,0,0,0,0,2024
Alabama,Tuskegee Airmen NHS,"28,474","3,559",0,"42,711",0,0,0,0,0,0,0,0,2024
Alabama,Tuskegee Institute NHS,"10,037",439,0,"5,279",0,0,0,0,0,0,0,0,2024
Alaska,Alagnak Wild River,278,795,109,"9,546","3,826",0,0,0,0,380,157,0,2024
Alaska,Aniakchak NM & PRES,191,771,63,"9,257","9,661",0,0,0,0,396,461,0,2024
Alaska,Bering Land Bridge NPRES,"2,642","2,906","1,126","34,878","20,624",0,0,0,0,"1,123",484,0,2024
Alaska,Cape Krusenstern NM,"17,736","16,105","7,297","193,262","195,800",0,0,0,0,"5,972","5,726",0,2024
Alaska,Denali NP & PRES,"466,227","468,584","887,033","5,623,015","221,758",0,"17,440",0,0,"29,405",0,0,2024
Alaska,Gates of the Arctic NP & PRES,"11,907","7,611",0,"91,332",0,0,0,0,0,"3,577",0,0,2024
Alaska,Glacier Bay NP & PRES,"736,282","774,047",771,"9,288,569","165,480","13,748",0,773,0,"3,710","6,820","12,268",2024
Alaska,Katmai NP & PRES,"36,230","48,472","7,547","581,674","82,744","5,190",0,"5,921",0,"3,766","1,498",0,2024
Alaska,Kenai Fjords NP,"419,468","111,645",0,"1,339,748",0,0,0,732,0,88,0,717,2024
Alaska,Klondike Gold Rush NHP Alaska,"1,336,008","462,102",0,"5,545,231",0,0,0,0,0,0,0,0,2024
Alaska,Kobuk Valley NP,"17,233","17,936","7,621","215,242","225,512",0,0,0,0,"6,301","6,856",0,2024
Alaska,Lake Clark NP & PRES,"18,505","17,992","3,214","215,914","73,198",0,0,0,0,"7,760","3,035",372,2024
Alaska,Noatak NPRES,"18,311","33,076","8,332","396,917","201,872",0,0,0,0,"5,354","5,634",0,2024
Alaska,Sitka NHP,"309,327","15,568",0,"186,822",0,0,0,0,0,0,0,0,2024
Alaska,Wrangell-St. Elias NP & PRES,"81,670","313,072",0,"3,756,871",0,0,0,0,0,220,0,"22,206",2024
Alaska,Yukon-Charley Rivers NPRES,"1,700","24,083",0,"289,000",0,0,0,0,0,"11,900",0,0,2024
American Samoa,National Park of American Samoa,"22,567","3,761",0,"45,137",0,0,0,0,0,0,0,0,2024
Arizona,Canyon de Chelly NM,"387,433","222,595","567,325","2,671,143","1,134,649","16,402","11,976",0,0,501,0,0,2024
Arizona,Casa Grande Ruins NM,"104,429","11,853","2,160","142,243",216,0,0,0,0,0,0,0,2024
Arizona,Chiricahua NM,"71,390","35,766","3,600","429,196","1,200",0,0,"8,835","4,978",0,0,"1,857",2024
Arizona,Coronado NMEM,"164,426","13,097","2,508","157,172","1,248",0,0,0,0,0,0,0,2024
Arizona,Fort Bowie NHS,"8,483","1,423",0,"17,087",0,0,0,0,0,0,0,0,2024
Arizona,Glen Canyon NRA,"1,142,900","391,254","22,183","4,695,057","266,179","53,400","25,195","3,431","5,951",0,0,"141,650",2024
Arizona,Grand Canyon NP,"4,919,163","6,423,732","21,010","77,084,784","21,010","629,148","74,657","105,154","60,069","291,787",0,"15,097",2024
Arizona,Hubbell Trading Post NHS,"46,419","1,998","4,584","23,984","1,056",0,0,0,0,0,0,0,2024
Arizona,Lake Mead NRA,"1,603,215","970,982","69,681","11,651,788","418,081","5,674","79,414","1,583","2,016","13,975",0,"6,224",2024
Arizona,Montezuma Castle NM,"379,967","31,663",0,"379,967",0,0,0,0,0,0,0,0,2024
Arizona,Navajo NM,"58,442","13,318","1,222","159,825",305,0,0,"2,134","2,509",15,0,54,2024
Arizona,Organ Pipe Cactus NM,"182,612","102,440","197,754","1,229,286","98,876",0,0,"16,339","57,439",47,195,494,2024
Arizona,Petrified Forest NP,"559,254","120,287",120,"1,443,448",120,0,0,0,0,709,0,0,2024
Arizona,Pipe Spring NM,"24,530","3,066",404,"36,794",900,0,0,0,0,0,0,0,2024
Arizona,Saguaro NP,"946,369","141,564","4,501,598","1,698,769","1,125,400",0,0,0,0,"2,795",0,0,2024
Arizona,Sunset Crater Volcano NM,"73,260","7,631","12,000","91,577","3,996",0,0,0,0,0,0,0,2024
