state,park,recreation_visitors,recreation_visitor_days,non_recreation_visitors,recreation_visitor_hours,non_recreation_visitor_hours,concessioner_lodging_overnights,concessioner_camping_overnights,tent_overnights,recreation_vehicle_overnights,back_country_overnights,non_recreation_overnights,misc_overnights,year
Alabama,Horseshoe Bend NMP,"72,725","17,741",0,"212,892",0,0,0,0,0,0,0,0,2023
Alabama,Little River Canyon NPRES,"700,638","145,227",0,"1,742,726",0,0,0,0,0,0,0,0,2023
Alabama,Natchez Trace PKWY,"474,939","159,716","657,665","1,916,595","657,665",0,0,0,0,0,0,0,2023
Alabama,Russell Cave NM,"8,678",875,0,"10,508",0,0,0,0,0,0,0,0,2023
Alabama,Tuskegee Airmen NHS,"22,082","2,760",0,"33,123",0,0,0,0,0,0,0,0,2023
Alabama,Tuskegee Institute NHS,"8,229",481,0,"5,779",0,0,0,0,0,0,0,0,2023
Alaska,Alagnak Wild River,231,356,90,"4,277","1,148",0,0,0,0,133,28,0,2023
Alaska,Aniakchak NM & PRES,199,612,112,"7,353","14,484",0,0,0,0,298,685,0,2023
Alaska,Bering Land Bridge NPRES,"2,642","2,906","1,128","34,878","20,592",0,0,0,0,"1,123",482,0,2023
Alaska,Cape Krusenstern NM,"17,820","16,354","7,825","196,258","206,600",0,0,0,0,"6,075","6,000",0,2023
Alaska,Denali NP & PRES,"498,722","498,758","847,073","5,985,104","211,768",0,"20,069",0,0,"29,720",0,0,2023
Alaska,Gates of the Arctic NP & PRES,"11,045","8,438",0,"101,256",0,0,0,0,0,"4,000",0,0,2023
Alaska,Glacier Bay NP & PRES,"703,659","739,098",458,"8,869,184","96,100","12,354",0,669,0,"3,648","3,960","9,518",2023
Alaska,Katmai NP & PRES,"33,763","50,810","7,025","609,721","101,346","4,947",0,"6,172",0,"5,564","2,408",0,2023
Alaska,Kenai Fjords NP,"387,525","103,133",0,"1,237,607",0,0,0,688,0,57,0,665,2023
Alaska,Klondike Gold Rush NHP Alaska,"1,284,320","426,729",0,"5,120,752",0,0,0,0,0,0,0,0,2023
Alaska,Kobuk Valley NP,"17,616","18,845","7,700","226,149","233,200",0,0,0,0,"6,675","7,150",0,2023
Alaska,Lake Clark NP & PRES,"16,728","11,864","3,223","142,378","37,862",0,0,0,0,"4,555","1,428",396,2023
Alaska,Noatak NPRES,"19,108","34,801","8,550","417,613","211,200",0,0,0,0,"5,600","5,950",0,2023
Alaska,Sitka NHP,"182,115","9,172",0,"110,073",0,0,0,0,0,0,0,0,2023
Alaska,Wrangell-St. Elias NP & PRES,"78,305","300,165",0,"3,601,980",0,0,0,0,0,488,0,"32,251",2023
Alaska,Yukon-Charley Rivers NPRES,"1,011","5,698",0,"68,382",0,0,0,0,0,"2,765",0,0,2023
American Samoa,National Park of American Samoa,"12,135","2,022",0,"24,273",0,0,0,0,0,0,0,0,2023
Arizona,Canyon de Chelly NM,"333,349","193,297","471,297","2,319,575","942,593","15,673","10,901",0,0,50,0,0,2023
Arizona,Casa Grande Ruins NM,"111,392","12,643","2,160","151,727",216,0,0,0,0,0,0,0,2023
Arizona,Chiricahua NM,"62,582","34,445","3,600","413,350","1,200",0,0,"9,418","4,857",0,0,"1,781",2023
Arizona,Coronado NMEM,"140,089","11,481","2,508","137,777","1,248",0,0,0,0,0,0,0,2023
Arizona,Fort Bowie NHS,"8,333","1,398",0,"16,776",0,0,0,0,0,0,0,0,2023
Arizona,Glen Canyon NRA,"1,141,021","462,339","23,006","5,548,069","276,068","56,647","28,383","65,016","66,366",0,0,"357,831",2023
Arizona,Grand Canyon NP,"4,733,705","6,171,077","12,533","74,052,927","12,533","530,029","37,380","159,019","84,332","299,725",0,"27,290",2023
Arizona,Hubbell Trading Post NHS,"54,187","2,333","4,584","27,997","1,056",0,0,0,0,0,0,0,2023
Arizona,Lake Mead NRA,"1,449,635","892,674","58,698","10,712,096","352,196","5,234","76,650","1,327","1,689","16,106",0,"6,066",2023
Arizona,Montezuma Castle NM,"367,239","30,603",0,"367,239",0,0,0,0,0,0,0,0,2023
Arizona,Navajo NM,"44,180","11,227","1,446","134,734",360,0,0,"1,964","2,604",6,0,95,2023
Arizona,Organ Pipe Cactus NM,"186,601","77,880","257,915","934,565","128,959",0,0,"10,151","36,358",68,83,221,2023
Arizona,Petrified Forest NP,"520,491","112,557",120,"1,350,691",120,0,0,0,0,722,0,0,2023
Arizona,Pipe Spring NM,"24,016","3,001",404,"36,023",900,0,0,0,0,0,0,0,2023
Arizona,Saguaro NP,"1,010,906","157,313","4,395,013","1,887,764","1,098,754",0,0,0,0,"3,515",0,0,2023
Arizona,Sunset Crater Volcano NM,"81,519","8,491","12,000","101,898","3,996",0,0,0,0,0,0,0,2023
Arizona,Tonto NM,"31,216","4,745",0,"56,946",0,0,0,0,0,0,0,0,2023
Arizona,Tumacacori NHP,"37,872","5,912",0,"70,944",0,0,0,0,0,0,0,845,2023
Arizona,Tuzigoot NM,"102,936","8,578",0,"102,936",0,0,0,0,0,0,0,0,2023
Arizona,Walnut Canyon NM,"152,548","16,526",480,"198,314",240,0,0,0,0,0,0,0,2023
Arizona,Wupatki NM,"215,703","71,900","6,531","862,811","3,920",0,0,0,0,0,0,0,2023
Arkansas,Arkansas Post NMEM,"25,032","3,129",0,"37,549",0,0,0,0,0,0,0,0,2023
