state,park,recreation_visitors,recreation_visitor_days,non_recreation_visitors,recreation_visitor_hours,non_recreation_visitor_hours,concessioner_lodging_overnights,concessioner_camping_overnights,tent_overnights,recreation_vehicle_overnights,back_country_overnights,non_recreation_overnights,misc_overnights,year
Alabama,Horseshoe Bend NMP,"74,255","15,009","1,014,144","180,109","338,014",0,0,0,0,0,0,0,2017
Alabama,Little River Canyon NPRES,"367,058","80,380",0,"964,562",0,0,0,0,0,0,0,0,2017
Alabama,Natchez Trace PKWY,"442,825","148,659","613,012","1,783,918","613,012",0,0,0,0,0,0,0,2017
Alabama,Russell Cave NM,"24,377","3,243",0,"38,927",0,0,0,0,0,0,0,0,2017
Alabama,Tuskegee Airmen NHS,"39,322","4,915",0,"58,982",0,0,0,0,0,0,0,0,2017
Alabama,Tuskegee Institute NHS,"20,407","3,155",0,"37,865",0,0,0,0,0,0,0,0,2017
Alaska,Aniakchak NM & PRES,100,470,0,"5,640",0,0,0,0,0,235,0,0,2017
Alaska,Bering Land Bridge NPRES,"2,642",660,"1,128","7,926","9,024",0,0,0,0,"1,123",360,0,2017
Alaska,Cape Krusenstern NM,"15,000","3,116","7,500","37,400","60,000",0,0,0,0,"6,375","5,525",0,2017
Alaska,Denali NP & PRES,"642,809","703,810","793,286","8,445,731","198,321",0,"27,248",0,0,"32,887",0,0,2017
Alaska,Gates of the Arctic NP & PRES,"11,177","13,144",0,"157,731",0,0,0,0,0,"6,355",0,0,2017
Alaska,Glacier Bay NP & PRES,"547,057","588,541",381,"7,062,494","97,380","12,352",0,901,0,"5,986","4,030","13,267",2017
Alaska,Katmai NP & PRES,"37,818","19,440",0,"233,289",0,"4,216",0,"2,098",0,483,0,0,2017
Alaska,Kenai Fjords NP,"303,598","80,588",0,"967,057",0,0,0,"1,176",0,674,0,0,2017
Alaska,Klondike Gold Rush NHP Alaska,"906,485","308,836",0,"3,706,040",0,0,0,"2,649",0,"5,637",0,0,2017
Alaska,Kobuk Valley NP,"15,500","4,241","7,750","50,900","62,000",0,0,0,0,"7,050","7,100",0,2017
Alaska,Lake Clark NP & PRES,"22,755","16,988",0,"203,866",0,0,0,0,0,"7,198",0,0,2017
Alaska,Noatak NPRES,"17,000","17,916","8,500","215,000","68,000",0,0,0,0,"5,500","5,650",0,2017
Alaska,Sitka NHP,"194,880","9,876",0,"118,514",0,0,0,0,0,0,0,0,2017
Alaska,Wrangell-St. Elias NP & PRES,"68,292","261,787",0,"3,141,451",0,0,0,0,0,0,0,0,2017
Alaska,Yukon-Charley Rivers NPRES,952,"4,398",0,"52,784",0,0,0,0,0,"2,120",295,0,2017
American Samoa,National Park of American Samoa,"69,468","11,577",0,"138,934",0,0,0,0,0,0,0,0,2017
Arizona,Canyon de Chelly NM,"825,660","442,813","1,213,974","5,313,761","2,427,949","19,216","10,058",0,0,709,0,0,2017
Arizona,Casa Grande Ruins NM,"75,583","8,579","2,160","102,952",216,0,0,0,0,0,0,0,2017
Arizona,Chiricahua NM,"63,132","29,738","3,600","356,858","1,200",0,0,"7,430","6,828",0,0,"1,230",2017
Arizona,Coronado NMEM,"131,614","11,696","2,508","140,356","1,248",0,0,0,0,0,0,0,2017
Arizona,Fort Bowie NHS,"8,491","1,415",0,"16,982",0,0,0,0,0,0,0,0,2017
Arizona,Glen Canyon NRA,"1,328,589","562,301","29,403","6,747,621","352,834","64,009","90,411","12,362","6,244",0,0,"445,171",2017
Arizona,Grand Canyon NP,"6,254,238","8,217,881","26,158","98,614,576","26,158","653,927","32,139","147,320","70,862","312,503",0,"29,005",2017
Arizona,Hubbell Trading Post NHS,"45,800","1,971","4,584","23,663","1,056",0,0,0,0,0,0,0,2017
Arizona,Lake Mead NRA,"1,970,584","1,254,797","51,862","15,057,575","311,179","2,048","15,747","47,436","60,374","87,182",0,"17,664",2017
Arizona,Montezuma Castle NM,"398,174","33,181",0,"398,174",0,0,0,0,0,0,0,0,2017
Arizona,Navajo NM,"68,785","15,387","17,540","184,653","4,386",0,0,"2,289","1,848",230,0,246,2017
Arizona,Organ Pipe Cactus NM,"260,534","59,024","1,193,054","708,288","596,527",0,0,"5,688","20,133",87,0,115,2017
Arizona,Petrified Forest NP,"627,757","144,403",120,"1,732,841",120,0,0,0,0,"1,401",0,0,2017
Arizona,Pipe Spring NM,"29,065","3,633",404,"43,597",900,0,0,0,0,0,0,0,2017
Arizona,Saguaro NP,"964,760","85,324","2,139,033","1,023,894","534,757",0,0,0,0,"2,339",0,0,2017
Arizona,Sunset Crater Volcano NM,"119,454","12,443","12,000","149,316","3,996",0,0,0,0,0,0,0,2017
Arizona,Tonto NM,"40,898","6,069",0,"72,831",0,0,0,0,0,0,0,0,2017
Arizona,Tumacacori NHP,"46,308","5,866",0,"70,394",0,0,0,0,0,0,0,256,2017
Arizona,Tuzigoot NM,"109,388","9,115",0,"109,388",0,0,0,0,0,0,0,0,2017
Arizona,Walnut Canyon NM,"165,134","17,889",480,"214,675",240,0,0,0,0,0,0,0,2017
Arizona,Wupatki NM,"236,454","39,416","6,531","472,997","3,920",0,0,0,0,5,0,0,2017
Arkansas,Arkansas Post NMEM,"36,079","4,536",0,"54,442",0,0,0,0,0,0,0,18,2017
