state,park,recreation_visitors,recreation_visitor_days,non_recreation_visitors,recreation_visitor_hours,non_recreation_visitor_hours,concessioner_lodging_overnights,concessioner_camping_overnights,tent_overnights,recreation_vehicle_overnights,back_country_overnights,non_recreation_overnights,misc_overnights,year
Alabama,Horseshoe Bend NMP,"67,773","16,785",0,"201,427",0,0,0,0,0,0,0,0,2022
Alabama,Little River Canyon NPRES,"726,239","136,555",0,"1,638,667",0,0,0,0,0,0,0,0,2022
Alabama,Natchez Trace PKWY,"458,046","154,070","595,238","1,848,841","595,238",0,0,0,0,0,0,0,2022
Alabama,Russell Cave NM,"16,988","1,559",0,"18,711",0,0,0,0,0,0,0,0,2022
Alabama,Tuskegee Airmen NHS,"16,137","2,016",0,"24,202",0,0,0,0,0,0,0,0,2022
Alabama,Tuskegee Institute NHS,"9,769",407,0,"4,884",0,0,0,0,0,0,0,0,2022
Alaska,Alagnak Wild River,184,"1,044",68,"12,528","5,529",0,0,0,0,562,253,0,2022
Alaska,Aniakchak NM & PRES,179,802,78,"9,633","12,726",0,0,0,0,419,609,0,2022
Alaska,Bering Land Bridge NPRES,"2,642","2,906","1,126","34,878","20,624",0,0,0,0,"1,123",484,0,2022
Alaska,Cape Krusenstern NM,"17,403","16,604","7,800","199,255","209,400",0,0,0,0,"6,225","6,125",0,2022
Alaska,Denali NP & PRES,"427,562","445,900","903,543","5,350,801","225,885",0,"19,877",0,0,"33,335",0,0,2022
Alaska,Gates of the Arctic NP & PRES,"9,457","8,398",0,"100,785",0,0,0,0,0,"4,017",0,0,2022
Alaska,Glacier Bay NP & PRES,"545,758","584,688",545,"7,016,261","121,480","15,554",0,724,0,"3,741","5,020","8,839",2022
Alaska,Katmai NP & PRES,"33,908","49,659","7,536","595,910","93,884","4,867",0,"5,812",0,"5,391","1,965",0,2022
Alaska,Kenai Fjords NP,"389,943","114,046",0,"1,368,552",0,0,0,556,0,70,0,994,2022
Alaska,Klondike Gold Rush NHP Alaska,"342,909","33,786",0,"405,438",0,0,0,0,0,586,0,0,2022
Alaska,Kobuk Valley NP,"16,925","20,045","7,750","240,548","225,200",0,0,0,0,"7,350","6,800",0,2022
Alaska,Lake Clark NP & PRES,"18,187","13,576","2,722","162,918","43,988",0,0,0,0,"5,421","1,752",331,2022
Alaska,Noatak NPRES,"18,393","34,352","8,450","412,233","205,600",0,0,0,0,"5,650","5,750",0,2022
Alaska,Sitka NHP,"134,451","6,762",0,"81,152",0,0,0,0,0,0,0,0,2022
Alaska,Wrangell-St. Elias NP & PRES,"65,236","250,071",0,"3,000,860",0,0,0,0,0,195,0,"7,224",2022
Alaska,Yukon-Charley Rivers NPRES,744,"2,574",8,"30,888",960,0,0,0,0,"1,225",40,0,2022
American Samoa,National Park of American Samoa,"1,887",314,0,"3,771",0,0,0,0,0,0,0,0,2022
Arizona,Canyon de Chelly NM,"354,972","203,488","517,100","2,441,861","1,034,201","15,051","10,949",0,0,3,0,0,2022
Arizona,Casa Grande Ruins NM,"78,557","8,916","2,160","107,003",216,0,0,0,0,0,0,0,2022
Arizona,Chiricahua NM,"61,377","35,288","3,600","423,459","1,200",0,0,"9,788","5,243",0,0,"1,845",2022
Arizona,Coronado NMEM,"131,359","11,949","2,508","143,393","1,248",0,0,0,0,0,0,0,2022
Arizona,Fort Bowie NHS,"7,913","1,318",0,"15,826",0,0,0,0,0,0,0,0,2022
Arizona,Glen Canyon NRA,"874,814","340,512","20,913","4,086,150","250,968","19,669","1,814","9,647","9,883",0,0,"391,615",2022
Arizona,Grand Canyon NP,"4,732,101","6,182,077","7,720","74,184,926","7,720","526,467","39,400","89,825","56,759","331,623",0,"14,141",2022
Arizona,Hubbell Trading Post NHS,"50,017","2,153","4,584","25,842","1,056",0,0,0,0,0,0,0,2022
Arizona,Lake Mead NRA,"1,394,555","891,964","61,162","10,703,578","366,970","17,612","74,320",902,"1,148","13,064",0,"6,994",2022
Arizona,Montezuma Castle NM,"364,014","30,334",0,"364,014",0,0,0,0,0,0,0,0,2022
Arizona,Navajo NM,"41,118","9,957","4,683","119,485","1,170",0,0,"1,684","2,053",0,0,185,2022
Arizona,Organ Pipe Cactus NM,"133,317","67,482","401,696","809,793","200,848",0,0,"7,773","36,176",49,205,878,2022
Arizona,Petrified Forest NP,"505,209","106,760",120,"1,281,126",120,0,0,0,0,789,0,0,2022
Arizona,Pipe Spring NM,"23,001","2,875",404,"34,501",900,0,0,0,0,0,0,0,2022
Arizona,Saguaro NP,"908,194","137,527","4,344,960","1,650,326","1,086,239",0,0,0,0,"3,706",0,0,2022
Arizona,Sunset Crater Volcano NM,"54,787","6,481","12,000","77,776","3,996",0,0,0,0,0,0,0,2022
Arizona,Tonto NM,"31,504","4,656",0,"55,882",0,0,0,0,0,0,0,0,2022
Arizona,Tumacacori NHP,"38,786","5,219",0,"62,629",0,0,0,0,0,0,0,0,2022
Arizona,Tuzigoot NM,"116,639","9,719",0,"116,639",0,0,0,0,0,0,0,0,2022
Arizona,Walnut Canyon NM,"179,396","19,434",480,"233,216",240,0,0,0,0,0,0,0,2022
Arizona,Wupatki NM,"194,448","64,816","6,531","777,797","3,920",0,0,0,0,0,0,0,2022
Arkansas,Arkansas Post NMEM,"22,791","2,848",0,"34,183",0,0,0,0,0,0,0,0,2022
Arkansas,Buffalo NR,"1,306,932","614,711",0,"7,376,537",0,"3,394",0,"49,112","38,047","16,590",0,"24,017",2022
Arkansas,Fort Smith NHS,"123,229","13,657",0,"163,893",0,0,0,0,0,0,0,0,2022
Arkansas,Hot Springs NP,"2,646,133","625,131","150,800","7,501,578","171,912",0,0,633,"35,741",0,0,0,2022
Arkansas,Little Rock Central High School NHS,"92,108","7,675",0,"92,108",0,0,0,0,0,0,0,0,2022
Arkansas,Pea Ridge NMP,"81,992","13,665",0,"163,989",0,0,0,0,0,0,0,0,2022
Arkansas,President W.J. Clinton Birthplace Home NHS,"6,078",506,0,"6,078",0,0,0,0,0,0,0,0,2022
