state,park,recreation_visitors,recreation_visitors_percent_change,recreation_visitor_days,recreation_visitor_days_percent_change,non_recreation_visitors,non_recreation_visitors_percent_change,recreation_visitor_hours,recreation_visitor_hours_percent_change,non_recreation_visitor_hours,non_recreation_visitor_hours_percent_change,concessioner_lodging_overnights,concessioner_lodging_overnights_percent_change,concessioner_camping_overnights,concessioner_camping_overnights_percent_change,tent_overnights,tent_overnights_percent_change,recreation_vehicle_overnights,recreation_vehicle_overnights_percent_change,back_country_overnights,back_country_overnights_percent_change,non_recreation_overnights,non_recreation_overnights_percent_change,misc_overnights,misc_overnights_percent_change,total_recreation_visitors,total_recreation_visitors_percent_change,total_recreation_visitor_days,total_recreation_visitor_days_percent_change,total_non_recreation_visitors,total_non_recreation_visitors_percent_change,total_recreation_visitor_hours,total_recreation_visitor_hours_percent_change,total_non_recreation_visitor_hours,total_non_recreation_visitor_hours_percent_change,total_concessioner_lodging_overnights,total_concessioner_lodging_overnights_percent_change,total_concessioner_camping_overnights,total_concessioner_camping_overnights_percent_change,total_tent_overnights,total_tent_overnights_percent_change,total_recreation_vehicle_overnights,total_recreation_vehicle_overnights_percent_change,total_back_country_overnights,total_back_country_overnights_percent_change,total_non_recreation_overnights,total_non_recreation_overnights_percent_change,total_misc_overnights,total_misc_overnights_percent_change,grand_total_recreation_visitors,grand_total_recreation_visitors_percent_change,grand_total_recreation_visitor_days,grand_total_recreation_visitor_days_percent_change,grand_total_non_recreation_visitors,grand_total_non_recreation_visitors_percent_change,grand_total_recreation_visitor_hours,grand_total_recreation_visitor_hours_percent_change,grand_total_non_recreation_visitor_hours,grand_total_non_recreation_visitor_hours_percent_change,grand_total_concessioner_lodging_overnights,grand_total_concessioner_lodging_overnights_percent_change,grand_total_concessioner_camping_overnights,grand_total_concessioner_camping_overnights_percent_change,grand_total_tent_overnights,grand_total_tent_overnights_percent_change,grand_total_recreation_vehicle_overnights,grand_total_recreation_vehicle_overnights_percent_change,grand_total_back_country_overnights,grand_total_back_country_overnights_percent_change,grand_total_non_recreation_overnights,grand_total_non_recreation_overnights_percent_change,grand_total_misc_overnights,grand_total_misc_overnights_percent_change
Alabama,Horseshoe Bend NMP,"64,063",-11.91%,"15,074",-15.03%,0,,"180,897",-15.03%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alabama,Little River Canyon NPRES,"763,209",8.93%,"153,069",5.40%,0,,"1,836,829",5.40%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alabama,Natchez Trace PKWY,"515,538",8.55%,"173,325",8.52%,"657,693",0.00%,"2,079,900",8.52%,"657,693",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alabama,Russell Cave NM,"9,261",6.72%,860,-1.71%,0,,"10,324",-1.75%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alabama,Tuskegee Airmen NHS,"28,474",28.95%,"3,559",28.95%,0,,"42,711",28.95%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alabama,Tuskegee Institute NHS,"10,037",21.97%,439,-8.73%,0,,"5,279",-8.65%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,390,582",8.02%,"346,326",5.97%,"657,693",,"4,155,940",5.98%,"657,693",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Alagnak Wild River,278,20.35%,795,123.31%,109,21.11%,"9,546",123.19%,"3,826",233.28%,0,,0,,0,,0,,380,185.71%,157,,0,460.71%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Aniakchak NM & PRES,191,-4.02%,771,25.98%,63,-43.75%,"9,257",25.89%,"9,661",-33.30%,0,,0,,0,,0,,396,32.89%,461,,0,-32.70%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,"2,906",0.00%,"1,126",-0.18%,"34,878",0.00%,"20,624",0.16%,0,,0,,0,,0,,"1,123",0.00%,484,,0,0.41%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Cape Krusenstern NM,"17,736",-0.47%,"16,105",-1.52%,"7,297",-6.75%,"193,262",-1.53%,"195,800",-5.23%,0,,0,,0,,0,,"5,972",-1.70%,"5,726",,0,-4.57%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Denali NP & PRES,"466,227",-6.52%,"468,584",-6.05%,"887,033",4.72%,"5,623,015",-6.05%,"221,758",4.72%,0,,"17,440",-13.10%,0,,0,,"29,405",-1.06%,0,,0,,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Gates of the Arctic NP & PRES,"11,907",7.80%,"7,611",-9.80%,0,,"91,332",-9.80%,0,,0,,0,,0,,0,,"3,577",-10.58%,0,,0,,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Glacier Bay NP & PRES,"736,282",4.64%,"774,047",4.73%,771,68.34%,"9,288,569",4.73%,"165,480",72.20%,"13,748",11.28%,0,,773,15.55%,0,,"3,710",1.70%,"6,820",28.89%,"12,268",72.22%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Katmai NP & PRES,"36,230",7.31%,"48,472",-4.60%,"7,547",7.43%,"581,674",-4.60%,"82,744",-18.35%,"5,190",4.91%,0,,"5,921",-4.07%,0,,"3,766",-32.31%,"1,498",,0,-37.79%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Kenai Fjords NP,"419,468",8.24%,"111,645",8.25%,0,,"1,339,748",8.25%,0,,0,,0,,732,6.40%,0,,88,54.39%,0,7.82%,717,,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Klondike Gold Rush NHP Alaska,"1,336,008",4.02%,"462,102",8.29%,0,,"5,545,231",8.29%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Kobuk Valley NP,"17,233",-2.17%,"17,936",-4.82%,"7,621",-1.03%,"215,242",-4.82%,"225,512",-3.30%,0,,0,,0,,0,,"6,301",-5.60%,"6,856",,0,-4.11%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Lake Clark NP & PRES,"18,505",10.62%,"17,992",51.65%,"3,214",-0.28%,"215,914",51.65%,"73,198",93.33%,0,,0,,0,,0,,"7,760",70.36%,"3,035",-6.06%,372,112.54%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Noatak NPRES,"18,311",-4.17%,"33,076",-4.96%,"8,332",-2.55%,"396,917",-4.96%,"201,872",-4.42%,0,,0,,0,,0,,"5,354",-4.39%,"5,634",,0,-5.31%,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Sitka NHP,"309,327",69.85%,"15,568",69.73%,0,,"186,822",69.73%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Wrangell-St. Elias NP & PRES,"81,670",4.30%,"313,072",4.30%,0,,"3,756,871",4.30%,0,,0,,0,,0,,0,,220,-54.92%,0,-31.15%,"22,206",,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Alaska,Yukon-Charley Rivers NPRES,"1,700",68.15%,"24,083",322.66%,0,,"289,000",322.63%,0,,0,,0,,0,,0,,"11,900",330.38%,0,,0,,Subtotal Alaska,"3,473,715",6.73%,"2,314,765",3.91%,"923,113",4.52%,"27,777,278",3.91%,"1,200,475",5.83%,"18,938",,"17,440",,"7,426",,0,,"79,952",13.08%,"30,671",,"35,563",9.18%,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
American Samoa,National Park of American Samoa,"22,567",85.97%,"3,761",86.00%,0,,"45,137",85.96%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal American Samoa,"22,567",85.97%,"3,761",86.00%,0,,"45,137",85.96%,0,,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Canyon de Chelly NM,"387,433",16.22%,"222,595",15.16%,"567,325",20.38%,"2,671,143",15.16%,"1,134,649",20.38%,"16,402",4.65%,"11,976",9.86%,0,,0,,501,902.00%,0,,0,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Casa Grande Ruins NM,"104,429",-6.25%,"11,853",-6.25%,"2,160",0.00%,"142,243",-6.25%,216,0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Chiricahua NM,"71,390",14.07%,"35,766",3.84%,"3,600",0.00%,"429,196",3.83%,"1,200",0.00%,0,,0,,"8,835",-6.19%,"4,978",2.49%,0,,0,4.27%,"1,857",,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Coronado NMEM,"164,426",17.37%,"13,097",14.08%,"2,508",0.00%,"157,172",14.08%,"1,248",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Fort Bowie NHS,"8,483",1.80%,"1,423",1.79%,0,,"17,087",1.85%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Glen Canyon NRA,"1,142,900",0.16%,"391,254",-15.38%,"22,183",-3.58%,"4,695,057",-15.37%,"266,179",-3.58%,"53,400",-5.73%,"25,195",-11.23%,"3,431",-94.72%,"5,951",-91.03%,0,,0,-60.41%,"141,650",,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Grand Canyon NP,"4,919,163",3.92%,"6,423,732",4.09%,"21,010",67.64%,"77,084,784",4.09%,"21,010",67.64%,"629,148",18.70%,"74,657",99.72%,"105,154",-33.87%,"60,069",-28.77%,"291,787",-2.65%,0,-44.68%,"15,097",,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Hubbell Trading Post NHS,"46,419",-14.34%,"1,998",-14.36%,"4,584",0.00%,"23,984",-14.33%,"1,056",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Lake Mead NRA,"1,603,215",10.59%,"970,982",8.77%,"69,681",18.71%,"11,651,788",8.77%,"418,081",18.71%,"5,674",8.41%,"79,414",3.61%,"1,583",19.29%,"2,016",19.36%,"13,975",-13.23%,0,2.60%,"6,224",,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Montezuma Castle NM,"379,967",3.47%,"31,663",3.46%,0,,"379,967",3.47%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Navajo NM,"58,442",32.28%,"13,318",18.62%,"1,222",-15.49%,"159,825",18.62%,305,-15.28%,0,,0,,"2,134",8.66%,"2,509",-3.65%,15,150.00%,0,-43.16%,54,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Organ Pipe Cactus NM,"182,612",-2.14%,"102,440",31.54%,"197,754",-23.33%,"1,229,286",31.54%,"98,876",-23.33%,0,,0,,"16,339",60.96%,"57,439",57.98%,47,-30.88%,195,123.53%,494,134.94%,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Petrified Forest NP,"559,254",7.45%,"120,287",6.87%,120,0.00%,"1,443,448",6.87%,120,0.00%,0,,0,,0,,0,,709,-1.80%,0,,0,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Pipe Spring NM,"24,530",2.14%,"3,066",2.17%,404,0.00%,"36,794",2.14%,900,0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Saguaro NP,"946,369",-6.38%,"141,564",-10.01%,"4,501,598",2.43%,"1,698,769",-10.01%,"1,125,400",2.43%,0,,0,,0,,0,,"2,795",-20.48%,0,,0,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Sunset Crater Volcano NM,"73,260",-10.13%,"7,631",-10.13%,"12,000",0.00%,"91,577",-10.13%,"3,996",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Arizona,Tonto NM,"30,840",-1.20%,"4,521",-4.72%,0,,"54,259",-4.72%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"11,254,081",4.11%,"8,604,301",3.79%,"5,413,142",3.06%,"103,251,732",3.79%,"3,077,385",8.96%,"704,624",15.97%,"191,242",24.74%,"137,476",,"132,962",,"309,829",-3.24%,195,,"165,376",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
