state,park,recreation_visitors,recreation_visitors_percent_change,recreation_visitor_days,recreation_visitor_days_percent_change,non_recreation_visitors,non_recreation_visitors_percent_change,recreation_visitor_hours,recreation_visitor_hours_percent_change,non_recreation_visitor_hours,non_recreation_visitor_hours_percent_change,concessioner_lodging_overnights,concessioner_lodging_overnights_percent_change,concessioner_camping_overnights,concessioner_camping_overnights_percent_change,tent_overnights,tent_overnights_percent_change,recreation_vehicle_overnights,recreation_vehicle_overnights_percent_change,back_country_overnights,back_country_overnights_percent_change,non_recreation_overnights,non_recreation_overnights_percent_change,misc_overnights,misc_overnights_percent_change,total_recreation_visitors,total_recreation_visitors_percent_change,total_recreation_visitor_days,total_recreation_visitor_days_percent_change,total_non_recreation_visitors,total_non_recreation_visitors_percent_change,total_recreation_visitor_hours,total_recreation_visitor_hours_percent_change,total_non_recreation_visitor_hours,total_non_recreation_visitor_hours_percent_change,total_concessioner_lodging_overnights,total_concessioner_lodging_overnights_percent_change,total_concessioner_camping_overnights,total_concessioner_camping_overnights_percent_change,total_tent_overnights,total_tent_overnights_percent_change,total_recreation_vehicle_overnights,total_recreation_vehicle_overnights_percent_change,total_back_country_overnights,total_back_country_overnights_percent_change,total_non_recreation_overnights,total_non_recreation_overnights_percent_change,total_misc_overnights,total_misc_overnights_percent_change,grand_total_recreation_visitors,grand_total_recreation_visitors_percent_change,grand_total_recreation_visitor_days,grand_total_recreation_visitor_days_percent_change,grand_total_non_recreation_visitors,grand_total_non_recreation_visitors_percent_change,grand_total_recreation_visitor_hours,grand_total_recreation_visitor_hours_percent_change,grand_total_non_recreation_visitor_hours,grand_total_non_recreation_visitor_hours_percent_change,grand_total_concessioner_lodging_overnights,grand_total_concessioner_lodging_overnights_percent_change,grand_total_concessioner_camping_overnights,grand_total_concessioner_camping_overnights_percent_change,grand_total_tent_overnights,grand_total_tent_overnights_percent_change,grand_total_recreation_vehicle_overnights,grand_total_recreation_vehicle_overnights_percent_change,grand_total_back_country_overnights,grand_total_back_country_overnights_percent_change,grand_total_non_recreation_overnights,grand_total_non_recreation_overnights_percent_change,grand_total_misc_overnights,grand_total_misc_overnights_percent_change
District of Columbia,Rock Creek Park,"1,917,170",5.46%,"180,660",21.29%,"12,421,269",0.01%,"2,167,925",21.29%,"6,210,631",0.01%,0,,0,,0,,0,,0,,0,,0,,Subtotal District of Columbia,"41,961,726",2.09%,"2,259,099",2.64%,"19,180,479",,"27,109,312",2.64%,"8,804,315",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
District of Columbia,Thomas Jefferson MEM,"2,915,319",-2.33%,"121,471",-2.33%,0,,"1,457,660",-2.33%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal District of Columbia,"41,961,726",2.09%,"2,259,099",2.64%,"19,180,479",,"27,109,312",2.64%,"8,804,315",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
District of Columbia,Vietnam Veterans MEM,"5,295,711",5.09%,"220,654",5.08%,0,,"2,647,856",5.09%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal District of Columbia,"41,961,726",2.09%,"2,259,099",2.64%,"19,180,479",,"27,109,312",2.64%,"8,804,315",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
District of Columbia,Washington Monument,"247,208",-0.62%,"20,600",-0.62%,0,,"247,208",-0.62%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal District of Columbia,"41,961,726",2.09%,"2,259,099",2.64%,"19,180,479",,"27,109,312",2.64%,"8,804,315",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
District of Columbia,White House,"517,030",-6.62%,"28,116",-31.22%,0,,"337,402",-31.22%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal District of Columbia,"41,961,726",2.09%,"2,259,099",2.64%,"19,180,479",,"27,109,312",2.64%,"8,804,315",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
District of Columbia,World War I MEM,"1,084,897",-0.67%,"45,204",-0.67%,0,,"542,448",-0.67%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal District of Columbia,"41,961,726",2.09%,"2,259,099",2.64%,"19,180,479",,"27,109,312",2.64%,"8,804,315",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
District of Columbia,World War II MEM,"5,160,769",0.81%,"215,031",0.80%,0,,"2,580,383",0.81%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal District of Columbia,"41,961,726",2.09%,"2,259,099",2.64%,"19,180,479",,"27,109,312",2.64%,"8,804,315",,0,,0,,0,,0,,0,,0,,0,,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Florida,Big Cypress NPRES,"2,216,708",20.05%,"388,900",12.16%,0,,"4,666,808",12.16%,0,,0,,0,,"1,499",-85.90%,"25,018",7.36%,"2,256",-59.43%,0,-87.14%,231,,Subtotal Florida,"13,503,256",1.46%,"2,849,591",-3.62%,"20,046",,"34,195,155",-3.62%,"53,688",,0,,"29,377",,"56,451",-4.42%,"150,108",11.58%,"22,741",11.80%,"1,710",0.02%,"15,594",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Florida,Biscayne NP,"512,213",-10.33%,"131,669",-12.70%,0,,"1,580,031",-12.70%,0,,0,,0,,393,-80.32%,0,,0,,0,-29.71%,"1,415",,Subtotal Florida,"13,503,256",1.46%,"2,849,591",-3.62%,"20,046",,"34,195,155",-3.62%,"53,688",,0,,"29,377",,"56,451",-4.42%,"150,108",11.58%,"22,741",11.80%,"1,710",0.02%,"15,594",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
Florida,Canaveral NS,"1,884,091",-6.69%,"398,061",-6.90%,0,,"4,776,737",-6.90%,0,,0,,0,,0,,0,,"4,118",-5.72%,0,,0,,Subtotal Florida,"13,503,256",1.46%,"2,849,591",-3.62%,"20,046",,"34,195,155",-3.62%,"53,688",,0,,"29,377",,"56,451",-4.42%,"150,108",11.58%,"22,741",11.80%,"1,710",0.02%,"15,594",,"331,863,356",1.96%,"116,323,136",-1.01%,"171,767,944",,"1,395,880,029",-1.01%,"90,748,473",,"3,207,096",,"1,365,243",,"3,262,997",,"2,673,639",,"1,756,374",,"44,198",,"1,023,984"
